 TIME, RATES AND OIL PRESSURES
   TIME   PL      P( 1)   P( 2)   P( 3)   P( 4)   P( 5)   P( 6)   P( 7)   P( 8)   P( 9)   P(10)   P(11)   P(12)   P(13)   P(14)   P(15)   P(16)   P(17)   P(18)   P(19)   P(20)   P(21)   P(22)   P(23)   P(24)   P(25)   P(26)   P(27)   P(28)   P(29)   P(30)   P(31)   P(32)   P(33)   P(34)   P(35)   P(36)   P(37)   P(38)   P(39)   P(40)   P(41)   P(42)   P(44)   P(44)   P(45)   P(46)   P(47)   P(48)   P(49)   P(50)   PR      
   12.00  213.87  213.51  212.87  212.58  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   13.00  213.83  213.50  212.89  212.58  212.32  212.05  211.79  211.52  211.25  210.99  210.72  210.46  210.19  209.92  209.66  209.39  209.13  208.86  208.60  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.89  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   14.00  213.81  213.49  212.91  212.58  212.32  212.05  211.79  211.52  211.25  210.99  210.72  210.46  210.19  209.92  209.66  209.39  209.13  208.86  208.60  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.89  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   15.00  213.81  213.51  212.94  212.58  212.32  212.05  211.79  211.52  211.25  210.99  210.72  210.46  210.19  209.92  209.66  209.39  209.13  208.86  208.60  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.89  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   16.00  213.83  213.54  212.99  212.58  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   17.00  213.89  213.61  213.06  212.58  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   18.00  213.92  213.64  213.10  212.58  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   19.00  213.95  213.67  213.13  212.59  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   20.00  214.00  213.72  213.18  212.59  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   21.00  214.03  213.75  213.21  212.60  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   22.00  214.05  213.77  213.23  212.61  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   23.00  214.07  213.79  213.26  212.62  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.60  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   24.00  214.06  213.79  213.25  212.63  212.32  212.05  211.79  211.52  211.25  210.99  210.72  210.46  210.19  209.92  209.66  209.39  209.13  208.86  208.60  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.89  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   25.00  214.06  213.79  213.26  212.65  212.32  212.05  211.79  211.52  211.25  210.99  210.72  210.46  210.19  209.92  209.66  209.39  209.13  208.86  208.60  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.89  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   26.00  214.08  213.81  213.28  212.69  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.60  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   27.00  214.12  213.85  213.32  212.74  212.32  212.05  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   28.00  214.18  213.91  213.38  212.82  212.32  212.05  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.65  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.35  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   29.00  214.19  213.92  213.39  212.84  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   30.00  214.22  213.95  213.42  212.87  212.32  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   31.00  214.26  213.99  213.46  212.92  212.32  212.05  211.78  211.52  211.25  210.98  210.72  210.45  210.19  209.92  209.66  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   32.00  214.29  214.02  213.49  212.95  212.33  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.12  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   33.00  214.31  214.04  213.51  212.97  212.34  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   34.00  214.33  214.06  213.53  212.99  212.35  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.59  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
   35.00  214.33  214.06  213.53  212.99  212.37  212.05  211.78  211.52  211.25  210.99  210.72  210.45  210.19  209.92  209.66  209.39  209.13  208.86  208.60  208.33  208.06  207.80  207.53  207.27  207.00  206.74  206.47  206.21  205.94  205.68  205.41  205.15  204.88  204.62  204.36  204.09  203.83  203.56  203.30  203.03  202.77  202.51  202.24  201.98  201.71  201.45  201.19  200.92  200.66  200.40  200.13  200.00
