 TIME AND WATER SATURATIONS
   TIME   SW( 1)  SW( 2)  SW( 3)  SW( 4)  SW( 5)  SW( 6)  SW( 7)  SW( 8)  SW( 9)  SW(10)  SW(11)  SW(12)  SW(13)  SW(14)  SW(15)  SW(16)  SW(17)  SW(18)  SW(19)  SW(20)  SW(21)  SW(22)  SW(23)  SW(24)  SW(25)  SW(26)  SW(27)  SW(28)  SW(29)  SW(30)  SW(31)  SW(32)  SW(33)  SW(34)  SW(35)  SW(36)  SW(37)  SW(38)  SW(39)  SW(40)  SW(41)  SW(42)  SW(44)  SW(44)  SW(45)  SW(46)  SW(47)  SW(48)  SW(49)  SW(50)  
   34.00  0.7616  0.7209  0.6576  0.3568  0.2009  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   35.00  0.7632  0.7239  0.6667  0.3924  0.2017  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   36.00  0.7647  0.7267  0.6743  0.4291  0.2029  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   37.00  0.7662  0.7293  0.6808  0.4666  0.2048  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   38.00  0.7676  0.7318  0.6865  0.5041  0.2077  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   39.00  0.7689  0.7341  0.6914  0.5403  0.2128  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   40.00  0.7702  0.7363  0.6957  0.5714  0.2239  0.1999  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   41.00  0.7715  0.7383  0.6996  0.5966  0.2414  0.1999  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   42.00  0.7727  0.7402  0.7030  0.6159  0.2654  0.2001  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   43.00  0.7738  0.7420  0.7063  0.6317  0.2933  0.2002  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   44.00  0.7749  0.7437  0.7095  0.6447  0.3240  0.2005  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   45.00  0.7759  0.7453  0.7125  0.6554  0.3572  0.2010  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   46.00  0.7769  0.7468  0.7153  0.6641  0.3923  0.2017  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   47.00  0.7779  0.7482  0.7181  0.6715  0.4286  0.2029  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   48.00  0.7788  0.7495  0.7207  0.6777  0.4656  0.2048  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   49.00  0.7797  0.7508  0.7232  0.6831  0.5026  0.2077  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
