 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
    2.50  210.40  -25.00  200.00   11.18    0.00    0.00
    5.00  212.66  -25.00  200.00   15.13    0.00    0.00
    7.50  213.31  -25.00  200.00   16.26    0.00    0.00
   10.00  213.55  -25.00  200.00   16.57    0.00    0.00
   12.50  213.74  -25.00  200.00   16.65    0.00    0.00
   15.00  214.00  -25.00  200.00   16.67    0.00    0.00
   17.50  214.35  -25.00  200.00   16.68    0.00    0.00
   20.00  214.43  -25.00  200.00   16.68    0.00    0.00
   22.50  214.57  -25.00  200.00   16.68    0.00    0.00
   25.00  214.69  -25.00  200.00   16.68    0.00    0.00
   27.50  214.76  -25.00  200.00   16.68    0.00    0.00
   30.00  214.80  -25.00  200.00   16.69    0.00    0.00
   32.50  214.69  -25.00  200.00   16.69    0.00    0.00
   35.00  214.64  -25.00  200.00   16.69    0.00    0.00
   37.50  214.64  -25.00  200.00   16.68    0.00    0.00
   40.00  214.71  -25.00  200.00   16.68    0.00    0.00
   42.50  214.85  -25.00  200.00   16.68    0.00    0.00
   45.00  214.94  -25.00  200.00   16.68    0.00    0.00
   47.50  215.01  -25.00  200.00   16.68    0.00    0.00
   50.00  215.12  -25.00  200.00   16.68    0.00    0.00
   52.50  215.19  -25.00  200.00   16.68    0.00    0.00
   55.00  215.24  -25.00  200.00   16.68    0.00    0.00
   57.50  215.29  -25.00  200.00   16.68    0.00    0.00
   60.00  215.27  -25.00  200.00   16.69    0.00    0.00
   62.50  215.28  -25.00  200.00   16.68    0.00    0.00
   65.00  215.32  -25.00  200.00   16.68    0.00    0.00
   67.50  215.42  -25.00  200.00   16.68    0.00    0.00
   70.00  215.57  -25.00  200.00   16.67    0.00    0.00
   72.50  215.59  -25.00  200.00   16.68    0.00    0.00
   75.00  215.67  -25.00  200.00   16.68    0.00    0.00
   77.50  215.78  -25.00  200.00   16.67    0.00    0.00
   80.00  215.84  -25.00  200.00   16.68    0.00    0.00
   82.50  215.89  -25.00  200.00   16.68    0.00    0.00
   85.00  215.94  -25.00  200.00   16.68    0.00    0.00
   87.50  215.95  -25.00  200.00   16.68    0.00    0.00
   90.00  215.96  -25.00  200.00   16.68    0.00    0.00
   92.50  216.01  -25.00  200.00   16.68    0.00    0.00
   95.00  216.11  -25.00  200.00   16.67    0.00    0.00
   97.50  216.25  -25.00  200.00   16.66    0.00    0.00
  100.00  216.28  -25.00  200.00   16.68    0.00    0.00
  102.50  216.35  -25.00  200.00   16.67    0.00    0.00
