 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
    5.00  211.63  -25.00  200.00   13.48    0.00    0.00
   10.00  213.25  -25.00  200.00   16.16    0.00    0.00
   15.00  213.71  -25.00  200.00   16.60    0.00    0.00
   20.00  214.36  -25.00  200.00   16.67    0.00    0.00
   25.00  214.60  -25.00  200.00   16.68    0.00    0.00
   30.00  214.77  -25.00  200.00   16.68    0.00    0.00
   35.00  214.60  -25.00  200.00   16.69    0.00    0.00
   40.00  214.56  -25.00  200.00   16.69    0.00    0.00
   45.00  214.81  -25.00  200.00   16.68    0.00    0.00
   50.00  215.00  -25.00  200.00   16.68    0.00    0.00
   55.00  215.19  -25.00  200.00   16.68    0.00    0.00
   60.00  215.23  -25.00  200.00   16.68    0.00    0.00
   65.00  215.21  -25.00  200.00   16.69    0.00    0.00
   70.00  215.34  -25.00  200.00   16.68    0.00    0.00
   75.00  215.56  -25.00  200.00   16.67    0.00    0.00
   80.00  215.78  -25.00  200.00   16.67    0.00    0.00
   85.00  215.89  -25.00  200.00   16.68    0.00    0.00
   90.00  215.89  -25.00  200.00   16.68    0.00    0.00
   95.00  215.94  -25.00  200.00   16.68    0.00    0.00
  100.00  216.18  -25.00  200.00   16.67    0.00    0.00
  105.00  216.32  -25.00  200.00   16.67    0.00    0.00
  110.00  216.49  -25.00  200.00   16.67    0.00    0.00
  115.00  216.57  -25.00  200.00   16.68    0.00    0.00
  120.00  216.56  -25.00  200.00   16.68    0.00    0.00
  125.00  216.69  -25.00  200.00   16.67    0.00    0.00
  130.00  216.90  -25.00  200.00   16.66    0.00    0.00
  135.00  217.08  -25.00  200.00   16.67    0.00    0.00
  140.00  217.19  -25.00  200.00   16.67    0.00    0.00
  145.00  217.23  -25.00  200.00   16.68    0.00    0.00
  150.00  217.26  -25.00  200.00   16.68    0.00    0.00
  155.00  217.47  -25.00  200.00   16.66    0.00    0.00
  160.00  217.62  -25.00  200.00   16.67    0.00    0.00
  165.00  217.79  -25.00  200.00   16.66    0.00    0.00
  170.00  217.89  -25.00  200.00   16.67    0.00    0.00
  175.00  217.89  -25.00  200.00   16.68    0.00    0.00
  180.00  217.99  -25.00  200.00   16.67    0.00    0.00
  185.00  218.22  -25.00  200.00   16.65    0.00    0.00
  190.00  218.37  -25.00  200.00   16.66    0.00    0.00
  195.00  218.49  -25.00  200.00   16.66    0.00    0.00
  200.00  218.56  -25.00  200.00   16.67    0.00    0.00
  205.00  218.57  -25.00  200.00   16.68    0.00    0.00
  210.00  218.74  -25.00  200.00   16.66    0.00    0.00
  215.00  218.91  -25.00  200.00   16.65    0.00    0.00
  220.00  219.09  -25.00  200.00   16.65    0.00    0.00
  225.00  219.19  -25.00  200.00   16.66    0.00    0.00
  230.00  219.22  -25.00  200.00   16.67    0.00    0.00
  235.00  219.28  -25.00  200.00   16.67    0.00    0.00
  240.00  219.51  -25.00  200.00   16.64    0.00    0.00
  245.00  219.64  -25.00  200.00   16.66    0.00    0.00
  250.00  219.79  -25.00  200.00   16.65    0.00    0.00
  255.00  219.89  -25.00  200.00   16.66    0.00    0.00
  260.00  219.89  -25.00  200.00   16.68    0.00    0.00
  265.00  220.00  -25.00  200.00   16.66    0.00    0.00
  270.00  220.21  -25.00  200.00   16.64    0.00    0.00
  275.00  220.37  -25.00  200.00   16.65    0.00    0.00
  280.00  220.49  -25.00  200.00   16.66    0.00    0.00
  285.00  220.55  -25.00  200.00   16.67    0.00    0.00
  290.00  220.57  -25.00  200.00   16.67    0.00    0.00
  295.00  220.74  -25.00  200.00   16.64    0.00    0.00
  300.00  220.90  -25.00  200.00   16.64    0.00    0.00
  305.00  221.08  -25.00  200.00   16.64    0.00    0.00
  310.00  221.18  -25.00  200.00   16.66    0.00    0.00
  315.00  221.20  -25.00  200.00   16.67    0.00    0.00
  320.00  221.27  -25.00  200.00   16.66    0.00    0.00
  325.00  221.51  -25.00  200.00   16.62    0.00    0.00
  330.00  221.64  -25.00  200.00   16.65    0.00    0.00
  335.00  221.78  -25.00  200.00   16.64    0.00    0.00
  340.00  221.87  -25.00  200.00   16.65    0.00    0.00
  345.00  221.88  -25.00  200.00   16.67    0.00    0.00
  350.00  221.99  -25.00  200.00   16.65    0.00    0.00
  355.00  222.19  -25.00  200.00   16.62    0.00    0.00
  360.00  222.36  -25.00  200.00   16.63    0.00    0.00
  365.00  222.47  -25.00  200.00   16.65    0.00    0.00
  370.00  222.53  -25.00  200.00   16.66    0.00    0.00
  375.00  222.56  -25.00  200.00   16.67    0.00    0.00
  380.00  222.73  -25.00  200.00   16.63    0.00    0.00
  385.00  222.88  -25.00  200.00   16.63    0.00    0.00
  390.00  223.07  -25.00  200.00   16.62    0.00    0.00
  395.00  223.16  -25.00  200.00   16.65    0.00    0.00
  400.00  223.19  -25.00  200.00   16.67    0.00    0.00
