 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
   10.00  212.41  -25.00  200.00   14.94    0.00    0.00
   20.00  213.67  -25.00  200.00   16.53    0.00    0.00
   30.00  214.62  -25.00  200.00   16.67    0.00    0.00
   40.00  214.40  -25.00  200.00   16.69    0.00    0.00
   50.00  214.73  -25.00  200.00   16.68    0.00    0.00
   60.00  215.18  -25.00  200.00   16.68    0.00    0.00
   70.00  215.07  -25.00  200.00   16.69    0.00    0.00
   80.00  215.52  -25.00  200.00   16.67    0.00    0.00
   90.00  215.77  -25.00  200.00   16.68    0.00    0.00
  100.00  215.77  -25.00  200.00   16.68    0.00    0.00
  110.00  216.23  -25.00  200.00   16.67    0.00    0.00
  120.00  216.39  -25.00  200.00   16.68    0.00    0.00
  130.00  216.50  -25.00  200.00   16.68    0.00    0.00
  140.00  217.00  -25.00  200.00   16.66    0.00    0.00
  150.00  217.07  -25.00  200.00   16.68    0.00    0.00
  160.00  217.27  -25.00  200.00   16.67    0.00    0.00
  170.00  217.75  -25.00  200.00   16.66    0.00    0.00
  180.00  217.75  -25.00  200.00   16.68    0.00    0.00
  190.00  218.05  -25.00  200.00   16.66    0.00    0.00
  200.00  218.46  -25.00  200.00   16.65    0.00    0.00
  210.00  218.41  -25.00  200.00   16.68    0.00    0.00
  220.00  218.80  -25.00  200.00   16.65    0.00    0.00
  230.00  219.09  -25.00  200.00   16.66    0.00    0.00
  240.00  219.09  -25.00  200.00   16.68    0.00    0.00
  250.00  219.49  -25.00  200.00   16.65    0.00    0.00
  260.00  219.71  -25.00  200.00   16.66    0.00    0.00
  270.00  219.78  -25.00  200.00   16.67    0.00    0.00
  280.00  220.21  -25.00  200.00   16.64    0.00    0.00
  290.00  220.37  -25.00  200.00   16.66    0.00    0.00
  300.00  220.51  -25.00  200.00   16.66    0.00    0.00
  310.00  220.97  -25.00  200.00   16.63    0.00    0.00
  320.00  221.05  -25.00  200.00   16.67    0.00    0.00
  330.00  221.26  -25.00  200.00   16.65    0.00    0.00
  340.00  221.69  -25.00  200.00   16.63    0.00    0.00
  350.00  221.72  -25.00  200.00   16.67    0.00    0.00
  360.00  222.02  -25.00  200.00   16.64    0.00    0.00
  370.00  222.41  -25.00  200.00   16.63    0.00    0.00
  380.00  222.38  -25.00  200.00   16.68    0.00    0.00
  390.00  222.75  -25.00  200.00   16.62    0.00    0.00
  400.00  223.05  -25.00  200.00   16.63    0.00    0.00
