 TIME AND WATER SATURATIONS
   TIME   SW( 1)  SW( 2)  SW( 3)  SW( 4)  SW( 5)  SW( 6)  SW( 7)  SW( 8)  SW( 9)  SW(10)  SW(11)  SW(12)  SW(13)  SW(14)  SW(15)  SW(16)  SW(17)  SW(18)  SW(19)  SW(20)  
      X=    2.50    7.50   12.50   17.50   22.50   27.50   32.50   37.50   42.50   47.50   52.50   57.50   62.50   67.50   72.50   77.50   82.50   87.50   92.50   97.50
    0.00  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
   10.00  0.3998  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000
   20.00  0.5943  0.2051  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   30.00  0.7003  0.2990  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   40.00  0.7261  0.4719  0.2010  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   50.00  0.7427  0.6424  0.2137  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   60.00  0.7536  0.6986  0.3463  0.2000  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   70.00  0.7613  0.7176  0.5170  0.2025  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   80.00  0.7678  0.7308  0.6684  0.2312  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   90.00  0.7732  0.7404  0.7001  0.3840  0.2002  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
  100.00  0.7776  0.7476  0.7144  0.5536  0.2046  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
  110.00  0.7814  0.7531  0.7260  0.6785  0.2585  0.1999  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
  120.00  0.7845  0.7578  0.7348  0.7015  0.4181  0.2005  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
