 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
    2.50  210.40  -25.00  200.00   11.18    0.00    0.00
    5.00  212.64  -25.00  200.00   15.14    0.00    0.00
    7.50  213.27  -25.00  200.00   16.26    0.00    0.00
   10.00  213.49  -25.00  200.00   16.57    0.00    0.00
   12.50  213.63  -25.00  200.00   16.66    0.00    0.00
   15.00  213.79  -25.00  200.00   16.68    0.00    0.00
   17.50  214.00  -25.00  200.00   16.68    0.00    0.00
   20.00  214.01  -25.00  200.00   16.69    0.00    0.00
   22.50  214.07  -25.00  200.00   16.69    0.00    0.00
   25.00  214.09  -25.00  200.00   16.69    0.00    0.00
   27.50  213.98  -25.00  200.00   16.69    0.00    0.00
   30.00  213.88  -25.00  200.00   16.69    0.00    0.00
   32.50  213.85  -25.00  200.00   16.69    0.00    0.00
   35.00  213.85  -25.00  200.00   16.69    0.00    0.00
   37.50  213.86  -25.00  200.00   16.69    0.00    0.00
   40.00  213.88  -25.00  200.00   16.69    0.00    0.00
   42.50  213.90  -25.00  200.00   16.69    0.00    0.00
   45.00  213.92  -25.00  200.00   16.69    0.00    0.00
   47.50  213.95  -25.00  200.00   16.69    0.00    0.00
   50.00  213.99  -25.00  200.00   16.69    0.00    0.00
   52.50  214.03  -25.00  200.00   16.69    0.00    0.00
   55.00  214.08  -25.00  200.00   16.69    0.00    0.00
   57.50  214.15  -25.00  200.00   16.69    0.00    0.00
   60.00  214.23  -25.00  200.00   16.69    0.00    0.00
   62.50  214.31  -25.00  200.00   16.69    0.00    0.00
   65.00  214.40  -25.00  200.00   16.69    0.00    0.00
   67.50  214.42  -25.00  200.00   16.69    0.00    0.00
   70.00  214.46  -25.00  200.00   16.69    0.00    0.00
   72.50  214.53  -25.00  200.00   16.69    0.00    0.00
   75.00  214.60  -25.00  200.00   16.69    0.00    0.00
   77.50  214.64  -25.00  200.00   16.69    0.00    0.00
   80.00  214.58  -25.00  200.00   16.69    0.00    0.00
   82.50  214.51  -25.00  200.00   16.69    0.00    0.00
   85.00  214.51  -25.00  200.00   16.69    0.00    0.00
   87.50  214.51  -25.00  200.00   16.69    0.00    0.00
   90.00  214.52  -25.00  200.00   16.69    0.00    0.00
   92.50  214.54  -25.00  200.00   16.69    0.00    0.00
   95.00  214.57  -25.00  200.00   16.69    0.00    0.00
   97.50  214.59  -25.00  200.00   16.69    0.00    0.00
  100.00  214.63  -25.00  200.00   16.69    0.00    0.00
  102.50  214.67  -25.00  200.00   16.69    0.00    0.00
