 TIME AND WATER SATURATIONS
   TIME   SW( 1)  SW( 2)  SW( 3)  SW( 4)  SW( 5)  SW( 6)  SW( 7)  SW( 8)  SW( 9)  SW(10)  SW(11)  SW(12)  SW(13)  SW(14)  SW(15)  SW(16)  SW(17)  SW(18)  SW(19)  SW(20)  
      X=    2.50    7.50   12.50   17.50   22.50   27.50   32.50   37.50   42.50   47.50   52.50   57.50   62.50   67.50   72.50   77.50   82.50   87.50   92.50   97.50
    0.00  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
    2.50  0.2498  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
    5.00  0.2997  0.1999  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000
    7.50  0.3495  0.2000  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   10.00  0.3992  0.2003  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   12.50  0.4486  0.2009  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   15.00  0.4976  0.2018  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   17.50  0.5461  0.2033  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   20.00  0.5919  0.2074  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   22.50  0.6347  0.2146  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   25.00  0.6752  0.2241  0.1998  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   27.50  0.7126  0.2365  0.1999  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
   30.00  0.7475  0.2516  0.1999  0.1998  0.1998  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000
