 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
    1.00  208.26  -25.00  200.00    7.04    0.00    0.00
    2.00  211.08  -25.00  200.00   11.83    0.00    0.00
    3.00  212.41  -25.00  200.00   14.32    0.00    0.00
    4.00  213.06  -25.00  200.00   15.54    0.00    0.00
    5.00  213.39  -25.00  200.00   16.13    0.00    0.00
    6.00  213.55  -25.00  200.00   16.42    0.00    0.00
    7.00  213.65  -25.00  200.00   16.56    0.00    0.00
    8.00  213.71  -25.00  200.00   16.62    0.00    0.00
    9.00  213.75  -25.00  200.00   16.65    0.00    0.00
   10.00  213.78  -25.00  200.00   16.67    0.00    0.00
   11.00  213.81  -25.00  200.00   16.68    0.00    0.00
   12.00  213.84  -25.00  200.00   16.68    0.00    0.00
   13.00  213.87  -25.00  200.00   16.68    0.00    0.00
   14.00  213.91  -25.00  200.00   16.68    0.00    0.00
   15.00  213.94  -25.00  200.00   16.68    0.00    0.00
   16.00  213.97  -25.00  200.00   16.68    0.00    0.00
   17.00  214.02  -25.00  200.00   16.68    0.00    0.00
   18.00  214.08  -25.00  200.00   16.68    0.00    0.00
   19.00  214.14  -25.00  200.00   16.68    0.00    0.00
   20.00  214.20  -25.00  200.00   16.68    0.00    0.00
   21.00  214.26  -25.00  200.00   16.68    0.00    0.00
   22.00  214.34  -25.00  200.00   16.68    0.00    0.00
   23.00  214.43  -25.00  200.00   16.68    0.00    0.00
   24.00  214.53  -25.00  200.00   16.68    0.00    0.00
   25.00  214.64  -25.00  200.00   16.67    0.00    0.00
   26.00  214.75  -25.00  200.00   16.67    0.00    0.00
   27.00  214.87  -25.00  200.00   16.67    0.00    0.00
   28.00  214.99  -25.00  200.00   16.67    0.00    0.00
   29.00  215.13  -25.00  200.00   16.67    0.00    0.00
   30.00  215.28  -25.00  200.00   16.67    0.00    0.00
   31.00  215.43  -25.00  200.00   16.67    0.00    0.00
   32.00  215.56  -25.00  200.00   16.67    0.00    0.00
   33.00  215.57  -25.00  200.00   16.68    0.00    0.00
   34.00  215.59  -25.00  200.00   16.68    0.00    0.00
   35.00  215.60  -25.00  200.00   16.68    0.00    0.00
   36.00  215.61  -25.00  200.00   16.68    0.00    0.00
   37.00  215.63  -25.00  200.00   16.68    0.00    0.00
   38.00  215.65  -25.00  200.00   16.68    0.00    0.00
   39.00  215.71  -25.00  200.00   16.68    0.00    0.00
   40.00  215.78  -25.00  200.00   16.68    0.00    0.00
   41.00  215.84  -25.00  200.00   16.68    0.00    0.00
   42.00  215.90  -25.00  200.00   16.68    0.00    0.00
   43.00  215.96  -25.00  200.00   16.68    0.00    0.00
   44.00  216.02  -25.00  200.00   16.68    0.00    0.00
   45.00  216.08  -25.00  200.00   16.68    0.00    0.00
   46.00  216.12  -25.00  200.00   16.68    0.00    0.00
   47.00  216.15  -25.00  200.00   16.68    0.00    0.00
   48.00  216.17  -25.00  200.00   16.68    0.00    0.00
   49.00  216.20  -25.00  200.00   16.68    0.00    0.00
   50.00  216.22  -25.00  200.00   16.68    0.00    0.00
   51.00  216.25  -25.00  200.00   16.68    0.00    0.00
   52.00  216.27  -25.00  200.00   16.68    0.00    0.00
   53.00  216.29  -25.00  200.00   16.68    0.00    0.00
   54.00  216.32  -25.00  200.00   16.68    0.00    0.00
   55.00  216.34  -25.00  200.00   16.68    0.00    0.00
   56.00  216.37  -25.00  200.00   16.68    0.00    0.00
   57.00  216.39  -25.00  200.00   16.68    0.00    0.00
   58.00  216.42  -25.00  200.00   16.68    0.00    0.00
   59.00  216.37  -25.00  200.00   16.68    0.00    0.00
   60.00  216.33  -25.00  200.00   16.69    0.00    0.00
   61.00  216.29  -25.00  200.00   16.69    0.00    0.00
   62.00  216.26  -25.00  200.00   16.69    0.00    0.00
   63.00  216.23  -25.00  200.00   16.69    0.00    0.00
   64.00  216.21  -25.00  200.00   16.68    0.00    0.00
   65.00  216.19  -25.00  200.00   16.68    0.00    0.00
   66.00  216.18  -25.00  200.00   16.68    0.00    0.00
   67.00  216.17  -25.00  200.00   16.68    0.00    0.00
   68.00  216.16  -25.00  200.00   16.68    0.00    0.00
   69.00  216.15  -25.00  200.00   16.68    0.00    0.00
   70.00  216.16  -25.00  200.00   16.68    0.00    0.00
   71.00  216.17  -25.00  200.00   16.67    0.00    0.00
   72.00  216.19  -25.00  200.00   16.67    0.00    0.00
   73.00  216.21  -25.00  200.00   16.67    0.00    0.00
   74.00  216.23  -25.00  200.00   16.67    0.00    0.00
   75.00  216.26  -25.00  200.00   16.67    0.00    0.00
   76.00  216.29  -25.00  200.00   16.67    0.00    0.00
   77.00  216.33  -25.00  200.00   16.66    0.00    0.00
   78.00  216.37  -25.00  200.00   16.66    0.00    0.00
   79.00  216.42  -25.00  200.00   16.66    0.00    0.00
   80.00  216.48  -25.00  200.00   16.66    0.00    0.00
   81.00  216.54  -25.00  200.00   16.66    0.00    0.00
   82.00  216.60  -25.00  200.00   16.66    0.00    0.00
   83.00  216.62  -25.00  200.00   16.67    0.00    0.00
   84.00  216.63  -25.00  200.00   16.67    0.00    0.00
   85.00  216.65  -25.00  200.00   16.68    0.00    0.00
   86.00  216.66  -25.00  200.00   16.68    0.00    0.00
   87.00  216.68  -25.00  200.00   16.68    0.00    0.00
   88.00  216.69  -25.00  200.00   16.68    0.00    0.00
   89.00  216.71  -25.00  200.00   16.68    0.00    0.00
   90.00  216.74  -25.00  200.00   16.67    0.00    0.00
   91.00  216.78  -25.00  200.00   16.67    0.00    0.00
   92.00  216.83  -25.00  200.00   16.67    0.00    0.00
   93.00  216.87  -25.00  200.00   16.67    0.00    0.00
   94.00  216.91  -25.00  200.00   16.67    0.00    0.00
   95.00  216.95  -25.00  200.00   16.67    0.00    0.00
   96.00  216.99  -25.00  200.00   16.67    0.00    0.00
   97.00  217.03  -25.00  200.00   16.67    0.00    0.00
   98.00  217.07  -25.00  200.00   16.67    0.00    0.00
   99.00  217.10  -25.00  200.00   16.67    0.00    0.00
  100.00  217.12  -25.00  200.00   16.67    0.00    0.00
  101.00  217.14  -25.00  200.00   16.67    0.00    0.00
  102.00  217.16  -25.00  200.00   16.68    0.00    0.00
  103.00  217.18  -25.00  200.00   16.68    0.00    0.00
  104.00  217.20  -25.00  200.00   16.68    0.00    0.00
  105.00  217.22  -25.00  200.00   16.68    0.00    0.00
  106.00  217.24  -25.00  200.00   16.68    0.00    0.00
  107.00  217.26  -25.00  200.00   16.68    0.00    0.00
  108.00  217.28  -25.00  200.00   16.67    0.00    0.00
  109.00  217.30  -25.00  200.00   16.67    0.00    0.00
  110.00  217.32  -25.00  200.00   16.67    0.00    0.00
  111.00  217.34  -25.00  200.00   16.67    0.00    0.00
  112.00  217.36  -25.00  200.00   16.67    0.00    0.00
  113.00  217.38  -25.00  200.00   16.67    0.00    0.00
  114.00  217.41  -25.00  200.00   16.67    0.00    0.00
  115.00  217.41  -25.00  200.00   16.68    0.00    0.00
  116.00  217.41  -25.00  200.00   16.68    0.00    0.00
  117.00  217.41  -25.00  200.00   16.68    0.00    0.00
  118.00  217.41  -25.00  200.00   16.68    0.00    0.00
  119.00  217.41  -25.00  200.00   16.68    0.00    0.00
  120.00  217.41  -25.00  200.00   16.68    0.00    0.00
  121.00  217.41  -25.00  200.00   16.68    0.00    0.00
  122.00  217.42  -25.00  200.00   16.68    0.00    0.00
  123.00  217.44  -25.00  200.00   16.67    0.00    0.00
  124.00  217.46  -25.00  200.00   16.67    0.00    0.00
  125.00  217.48  -25.00  200.00   16.67    0.00    0.00
  126.00  217.51  -25.00  200.00   16.66    0.00    0.00
  127.00  217.54  -25.00  200.00   16.66    0.00    0.00
  128.00  217.58  -25.00  200.00   16.66    0.00    0.00
  129.00  217.62  -25.00  200.00   16.66    0.00    0.00
  130.00  217.66  -25.00  200.00   16.66    0.00    0.00
  131.00  217.71  -25.00  200.00   16.65    0.00    0.00
  132.00  217.76  -25.00  200.00   16.65    0.00    0.00
  133.00  217.81  -25.00  200.00   16.65    0.00    0.00
  134.00  217.87  -25.00  200.00   16.65    0.00    0.00
  135.00  217.94  -25.00  200.00   16.64    0.00    0.00
  136.00  217.97  -25.00  200.00   16.66    0.00    0.00
  137.00  217.98  -25.00  200.00   16.67    0.00    0.00
  138.00  217.99  -25.00  200.00   16.67    0.00    0.00
  139.00  218.00  -25.00  200.00   16.68    0.00    0.00
  140.00  218.01  -25.00  200.00   16.68    0.00    0.00
  141.00  218.01  -25.00  200.00   16.68    0.00    0.00
  142.00  218.02  -25.00  200.00   16.68    0.00    0.00
  143.00  218.03  -25.00  200.00   16.67    0.00    0.00
  144.00  218.06  -25.00  200.00   16.67    0.00    0.00
  145.00  218.09  -25.00  200.00   16.66    0.00    0.00
  146.00  218.13  -25.00  200.00   16.66    0.00    0.00
  147.00  218.16  -25.00  200.00   16.66    0.00    0.00
  148.00  218.20  -25.00  200.00   16.66    0.00    0.00
  149.00  218.23  -25.00  200.00   16.66    0.00    0.00
  150.00  218.27  -25.00  200.00   16.66    0.00    0.00
  151.00  218.31  -25.00  200.00   16.66    0.00    0.00
