 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
   90.00  215.48  -25.00  200.00   16.68    0.00    0.00
   91.00  215.49  -25.00  200.00   16.68    0.00    0.00
   92.00  215.50  -25.00  200.00   16.68    0.00    0.00
   93.00  215.54  -25.00  200.00   16.68    0.00    0.00
   94.00  215.56  -25.00  200.00   16.68    0.00    0.00
   95.00  215.60  -25.00  200.00   16.68    0.00    0.00
   96.00  215.62  -25.00  200.00   16.68    0.00    0.00
   97.00  215.62  -25.00  200.00   16.68    0.00    0.00
   98.00  215.64  -25.00  200.00   16.68    0.00    0.00
   99.00  215.69  -25.00  200.00   16.67    0.00    0.00
  100.00  215.71  -25.00  200.00   16.68    0.00    0.00
  101.00  215.74  -25.00  200.00   16.68    0.00    0.00
  102.00  215.76  -25.00  200.00   16.68    0.00    0.00
  103.00  215.76  -25.00  200.00   16.68    0.00    0.00
  104.00  215.78  -25.00  200.00   16.68    0.00    0.00
  105.00  215.82  -25.00  200.00   16.67    0.00    0.00
  106.00  215.85  -25.00  200.00   16.67    0.00    0.00
  107.00  215.88  -25.00  200.00   16.68    0.00    0.00
  108.00  215.89  -25.00  200.00   16.68    0.00    0.00
  109.00  215.89  -25.00  200.00   16.68    0.00    0.00
  110.00  215.93  -25.00  200.00   16.68    0.00    0.00
  111.00  215.96  -25.00  200.00   16.67    0.00    0.00
  112.00  215.99  -25.00  200.00   16.67    0.00    0.00
  113.00  216.01  -25.00  200.00   16.68    0.00    0.00
  114.00  216.02  -25.00  200.00   16.68    0.00    0.00
  115.00  216.03  -25.00  200.00   16.68    0.00    0.00
  116.00  216.08  -25.00  200.00   16.67    0.00    0.00
  117.00  216.10  -25.00  200.00   16.67    0.00    0.00
  118.00  216.13  -25.00  200.00   16.67    0.00    0.00
  119.00  216.15  -25.00  200.00   16.68    0.00    0.00
  120.00  216.15  -25.00  200.00   16.68    0.00    0.00
  121.00  216.17  -25.00  200.00   16.68    0.00    0.00
  122.00  216.21  -25.00  200.00   16.67    0.00    0.00
  123.00  216.24  -25.00  200.00   16.67    0.00    0.00
  124.00  216.27  -25.00  200.00   16.67    0.00    0.00
  125.00  216.28  -25.00  200.00   16.68    0.00    0.00
  126.00  216.29  -25.00  200.00   16.68    0.00    0.00
  127.00  216.32  -25.00  200.00   16.68    0.00    0.00
  128.00  216.35  -25.00  200.00   16.67    0.00    0.00
  129.00  216.38  -25.00  200.00   16.67    0.00    0.00
  130.00  216.40  -25.00  200.00   16.67    0.00    0.00
  131.00  216.41  -25.00  200.00   16.68    0.00    0.00
  132.00  216.42  -25.00  200.00   16.68    0.00    0.00
  133.00  216.46  -25.00  200.00   16.67    0.00    0.00
  134.00  216.49  -25.00  200.00   16.67    0.00    0.00
  135.00  216.52  -25.00  200.00   16.67    0.00    0.00
  136.00  216.54  -25.00  200.00   16.67    0.00    0.00
  137.00  216.55  -25.00  200.00   16.68    0.00    0.00
  138.00  216.56  -25.00  200.00   16.68    0.00    0.00
  139.00  216.60  -25.00  200.00   16.67    0.00    0.00
  140.00  216.63  -25.00  200.00   16.67    0.00    0.00
  141.00  216.66  -25.00  200.00   16.67    0.00    0.00
  142.00  216.68  -25.00  200.00   16.67    0.00    0.00
  143.00  216.68  -25.00  200.00   16.68    0.00    0.00
  144.00  216.71  -25.00  200.00   16.67    0.00    0.00
  145.00  216.74  -25.00  200.00   16.67    0.00    0.00
  146.00  216.77  -25.00  200.00   16.67    0.00    0.00
  147.00  216.80  -25.00  200.00   16.67    0.00    0.00
  148.00  216.81  -25.00  200.00   16.68    0.00    0.00
  149.00  216.82  -25.00  200.00   16.68    0.00    0.00
  150.00  216.85  -25.00  200.00   16.67    0.00    0.00
  151.00  216.88  -25.00  200.00   16.67    0.00    0.00
  152.00  216.91  -25.00  200.00   16.67    0.00    0.00
  153.00  216.93  -25.00  200.00   16.67    0.00    0.00
  154.00  216.94  -25.00  200.00   16.68    0.00    0.00
  155.00  216.95  -25.00  200.00   16.68    0.00    0.00
  156.00  216.99  -25.00  200.00   16.67    0.00    0.00
  157.00  217.02  -25.00  200.00   16.67    0.00    0.00
  158.00  217.05  -25.00  200.00   16.67    0.00    0.00
  159.00  217.07  -25.00  200.00   16.67    0.00    0.00
  160.00  217.07  -25.00  200.00   16.68    0.00    0.00
  161.00  217.09  -25.00  200.00   16.67    0.00    0.00
  162.00  217.13  -25.00  200.00   16.67    0.00    0.00
  163.00  217.16  -25.00  200.00   16.67    0.00    0.00
  164.00  217.19  -25.00  200.00   16.67    0.00    0.00
  165.00  217.20  -25.00  200.00   16.67    0.00    0.00
  166.00  217.21  -25.00  200.00   16.68    0.00    0.00
  167.00  217.24  -25.00  200.00   16.67    0.00    0.00
  168.00  217.27  -25.00  200.00   16.67    0.00    0.00
  169.00  217.30  -25.00  200.00   16.66    0.00    0.00
