TIME,WBHP:A-35,WBHP:A-17,WBHP:A-13,WBHP:A-39A,WBHP:A-2AH,WBHP:A-5H,WBHP:A-10,WBHP:A-38,WBHP:A-1H,WGIR:A-35,WGIR:A-17,WGIR:A-13,WGIR:A-39A,WGIR:A-2AH,WGIR:A-5H,WGIR:A-10,WGIR:A-38,WGIR:A-1H,WGOR:A-35,WGOR:A-17,WGOR:A-13,WGOR:A-39A,WGOR:A-2AH,WGOR:A-5H,WGOR:A-10,WGOR:A-38,WGOR:A-1H,WGPT:A-35,WGPT:A-17,WGPT:A-13,WGPT:A-39A,WGPT:A-2AH,WGPT:A-5H,WGPT:A-10,WGPT:A-38,WGPT:A-1H,WGPR:A-35,WGPR:A-17,WGPR:A-13,WGPR:A-39A,WGPR:A-2AH,WGPR:A-5H,WGPR:A-10,WGPR:A-38,WGPR:A-1H,WOPT:A-35,WOPT:A-17,WOPT:A-13,WOPT:A-39A,WOPT:A-2AH,WOPT:A-5H,WOPT:A-10,WOPT:A-38,WOPT:A-1H,WOPR:A-35,WOPR:A-17,WOPR:A-13,WOPR:A-39A,WOPR:A-2AH,WOPR:A-5H,WOPR:A-10,WOPR:A-38,WOPR:A-1H,WPI1:A-35,WPI1:A-17,WPI1:A-13,WPI1:A-39A,WPI1:A-2AH,WPI1:A-5H,WPI1:A-10,WPI1:A-38,WPI1:A-1H,WWCT:A-35,WWCT:A-17,WWCT:A-13,WWCT:A-39A,WWCT:A-2AH,WWCT:A-5H,WWCT:A-10,WWCT:A-38,WWCT:A-1H,
182.00,0,0,0,0,271.4,330.596,0,0,252.992,0,0,0,0,0,0,0,0,0,0,0,0,0,101.313,0,0,0,98.3797,0,0,0,0,1.94348e+07,0,0,0,3.7009e+07,0,0,0,0,123915,0,0,0,277777,0,0,0,0,191726,0,0,0,369832,0,0,0,0,1223.09,0,0,0,2823.52,0,0,0,0,149.295,355.14,0,0,253.586,0,0,0,0,4.39967e-05,0,0,0,4.94664e-05,
212.00,0,0,0,0,279.876,334.736,0,0,259.967,0,0,0,0,0,0,0,0,0,0,0,0,0,101.204,0,0,0,97.7035,0,0,0,0,2.25669e+07,0,0,0,4.4896e+07,0,0,0,0,104371,0,0,0,262388,0,0,0,0,222660,0,0,0,450333,0,0,0,0,1031.29,0,0,0,2685.56,0,0,0,0,148.383,373.279,0,0,251.499,0,0,0,0,2.66686e-05,0,0,0,4.13297e-05,
234.00,0,0,0,0,279.625,324.766,302.879,0,253.261,0,0,0,0,0,0,0,0,0,0,0,0,0,101.149,0,0,0,97.3161,0,0,0,0,2.48685e+07,0,0,0,5.24064e+07,0,0,0,0,104602,0,0,0,341009,0,0,0,0,245410,0,0,0,527389,0,0,0,0,1034.15,0,0,0,3504.14,0,0,0,0,148.386,383.85,0,0,251.912,0,0,0,0,2.72092e-05,0,0,0,4.63796e-05,
243.00,0,0,0,0,279.471,324.491,301.896,0,252.862,0,0,0,0,0,0,0,0,0,0,0,0,0,101.131,0,0,0,97.1736,0,0,0,0,2.58098e+07,0,0,0,5.54731e+07,0,0,0,0,104589,0,0,0,340656,0,0,0,0,254718,0,0,0,558936,0,0,0,0,1034.2,0,0,0,3505.64,0,0,0,0,148.396,388.426,0,0,251.869,0,0,0,0,2.75068e-05,0,0,0,4.71641e-05,
274.00,0,0,0,0,282.113,342.405,261.359,0,250.409,0,0,0,0,0,0,0,0,0,0,0,0,0,101.04,0,99.8975,0,96.7334,0,0,0,0,2.95564e+07,0,7.13434e+06,0,6.73319e+07,0,0,0,0,120824,0,230194,0,382027,0,0,0,0,291784,0,71441.4,0,681295,0,0,0,0,1195.81,0,2304.3,0,3949.28,0,0,0,0,147.897,406.154,111.726,0,251.68,0,0,0,0,1.91148e-05,0,7.07039e-05,0,4.89427e-05,
294.00,0,0,0,0,282.938,341.637,249.535,0,249.995,0,0,0,0,0,0,0,0,0,0,0,0,0,100.989,0,99.9951,0,96.5342,0,0,0,0,3.20461e+07,0,1.27141e+07,0,7.52775e+07,0,0,0,0,124468,0,279065,0,397081,0,0,0,0,316432,0,127264,0,763545,0,0,0,0,1232.49,0,2790.78,0,4113.37,0,0,0,0,147.744,414.869,112.386,0,251.494,0,0,0,0,1.66924e-05,0,9.78146e-05,0,4.88996e-05,
304.00,0,0,0,0,283.512,342.191,247.35,0,250.358,0,0,0,0,0,0,0,0,0,0,0,0,0,100.967,0,100.055,0,96.4628,0,0,0,0,3.32907e+07,0,1.55056e+07,0,7.92467e+07,0,0,0,0,124449,0,279180,0,396876,0,0,0,0,328758,0,155168,0,804686,0,0,0,0,1232.57,0,2790.26,0,4114.29,0,0,0,0,147.666,418.724,112.587,0,251.397,0,0,0,0,1.53925e-05,0,0.000106202,0,4.8414e-05,
335.00,0,0,0,0,283.07,336.708,242.88,0,250.862,0,0,0,0,0,0,0,0,0,0,0,0,0,100.927,0,100.258,0,96.3524,0,0,0,0,3.70855e+07,0,2.4084e+07,0,9.1325e+07,0,0,0,0,122399,0,276891,0,389530,0,0,0,0,366351,0,240806,0,929997,0,0,0,0,1212.75,0,2761.77,0,4042.76,0,0,0,0,147.717,427.86,113.045,0,251.429,0,0,0,0,1.64643e-05,0,0.00012458,0,4.86455e-05,
349.00,0,0,0,0,287.092,346.07,266.076,0,250.724,0,0,0,0,0,0,0,0,0,0,0,0,0,100.891,0,100.307,0,96.3399,0,0,0,0,3.85684e+07,0,2.56513e+07,0,9.69061e+07,0,0,0,0,105913,0,111957,0,398640,0,0,0,0,381048,0,256432,0,987926,0,0,0,0,1049.78,0,1116.14,0,4137.85,0,0,0,0,147.371,432.514,112.413,0,251.438,0,0,0,0,8.8407e-06,0,8.81512e-05,0,4.82035e-05,
360.00,0,0,0,0,288.63,347.712,267.146,0,251.587,0,0,0,0,0,0,0,0,0,0,0,0,0,100.861,0,100.339,0,96.3338,0,0,0,0,3.97333e+07,0,2.6883e+07,0,1.01291e+08,0,0,0,0,105891,0,111983,0,398625,0,0,0,0,392596,0,268709,0,1.03344e+06,0,0,0,0,1049.87,0,1116.04,0,4137.95,0,0,0,0,147.17,435.643,112.34,0,251.314,0,0,0,0,6.54186e-06,0,8.39758e-05,0,4.6781e-05,
