TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,
7367.00,50,50,187.841,66.9307,0,0,0,0,323.497,132.257,0,0,1.69639e+09,2.02309e+09,0,0,312658,93683.6,0,0,1.21156e+07,7.08068e+06,0,0,966.496,708.343,0,0,87.4657,65.3841,0,0,0.102116,0.028461,0,0,
7395.00,50,50,187.599,66.9081,0,0,0,0,325.664,132.712,0,0,1.70516e+09,2.02572e+09,0,0,313875,93829.5,0,0,1.21426e+07,7.10049e+06,0,0,963.8,707.015,0,0,87.3429,65.3169,0,0,0.102429,0.0286336,0,0,
7426.00,50,50,187.332,66.8828,0,0,0,0,328.053,133.221,0,0,1.71492e+09,2.02863e+09,0,0,315190,93993.6,0,0,1.21724e+07,7.12238e+06,0,0,960.792,705.549,0,0,87.2078,65.2438,0,0,0.102776,0.0288191,0,0,
7456.00,50,50,187.073,66.8578,0,0,0,0,330.306,133.724,0,0,1.72439e+09,2.03145e+09,0,0,316380,94155.9,0,0,1.22012e+07,7.14352e+06,0,0,957.839,704.105,0,0,87.0791,65.1739,0,0,0.103115,0.0289934,0,0,
7487.00,50,50,186.806,66.8319,0,0,0,0,332.712,134.259,0,0,1.73422e+09,2.03438e+09,0,0,317669,94333.4,0,0,1.22308e+07,7.16533e+06,0,0,954.788,702.625,0,0,86.9437,65.1023,0,0,0.103466,0.029168,0,0,
7517.00,50,50,186.546,66.8063,0,0,0,0,335.071,134.78,0,0,1.74378e+09,2.03721e+09,0,0,318941,94504,0,0,1.22594e+07,7.18638e+06,0,0,951.863,701.171,0,0,86.8118,65.0344,0,0,0.103807,0.0293316,0,0,
7548.00,50,50,186.278,66.7797,0,0,0,0,337.665,135.337,0,0,1.75369e+09,2.04014e+09,0,0,320394,94693.7,0,0,1.22889e+07,7.20809e+06,0,0,948.851,699.69,0,0,86.6705,64.9645,0,0,0.104157,0.0294965,0,0,
7579.00,50,50,186.008,66.7529,0,0,0,0,340.243,135.915,0,0,1.76365e+09,2.04308e+09,0,0,321820,94895.2,0,0,1.23182e+07,7.22975e+06,0,0,945.855,698.196,0,0,86.5306,64.8946,0,0,0.104508,0.0296581,0,0,
7609.00,50,50,185.748,66.7266,0,0,0,0,342.718,136.491,0,0,1.77332e+09,2.04593e+09,0,0,323164,95096.6,0,0,1.23466e+07,7.25067e+06,0,0,942.943,696.723,0,0,86.3963,64.827,0,0,0.104847,0.0298109,0,0,
7640.00,50,50,185.478,66.6991,0,0,0,0,345.218,137.1,0,0,1.78337e+09,2.04888e+09,0,0,324470,95315.2,0,0,1.23757e+07,7.27224e+06,0,0,939.898,695.224,0,0,86.2601,64.7579,0,0,0.105197,0.0299647,0,0,
7670.00,50,50,185.218,66.6722,0,0,0,0,347.528,137.694,0,0,1.79312e+09,2.05175e+09,0,0,325616,95523.1,0,0,1.24039e+07,7.29307e+06,0,0,936.949,693.735,0,0,86.1323,64.692,0,0,0.105536,0.0301091,0,0,
7701.00,50,50,184.949,66.6442,0,0,0,0,349.912,138.307,0,0,1.80323e+09,2.05471e+09,0,0,326777,95737.4,0,0,1.24329e+07,7.31455e+06,0,0,933.884,692.209,0,0,86.0004,64.6251,0,0,0.105889,0.0302542,0,0,
7702.00,50,50,184.94,66.6433,0,0,0,0,349.981,138.327,0,0,1.80356e+09,2.05481e+09,0,0,326804,95746.1,0,0,1.24338e+07,7.31524e+06,0,0,933.777,692.172,0,0,85.9964,64.6229,0,0,0.105901,0.0302589,0,0,
7703.00,50,50,184.932,66.6424,0,0,0,0,350.073,138.347,0,0,1.80389e+09,2.0549e+09,0,0,326858,95753.2,0,0,1.24347e+07,7.31594e+06,0,0,933.683,692.122,0,0,85.9916,64.6207,0,0,0.105913,0.0302635,0,0,
7732.00,50,50,184.679,66.6155,0,0,0,0,352.279,138.91,0,0,1.81338e+09,2.05768e+09,0,0,327905,95941.2,0,0,1.24618e+07,7.33598e+06,0,0,930.812,690.671,0,0,85.869,64.5602,0,0,0.106247,0.0303947,0,0,
7761.00,50,50,184.428,66.5884,0,0,0,0,354.476,139.467,0,0,1.82291e+09,2.06047e+09,0,0,328941,96123.8,0,0,1.24887e+07,7.35599e+06,0,0,927.964,689.224,0,0,85.7471,64.5012,0,0,0.10658,0.0305219,0,0,
7792.00,50,50,184.159,66.5592,0,0,0,0,356.848,140.064,0,0,1.83313e+09,2.06345e+09,0,0,330048,96321.1,0,0,1.25174e+07,7.37733e+06,0,0,924.898,687.693,0,0,85.6159,64.4391,0,0,0.106939,0.0306541,0,0,
7822.00,50,50,183.899,66.5307,0,0,0,0,359.21,140.632,0,0,1.84305e+09,2.06634e+09,0,0,331175,96500.2,0,0,1.25451e+07,7.39793e+06,0,0,921.954,686.191,0,0,85.4869,64.3806,0,0,0.107286,0.0307781,0,0,
7853.00,50,50,183.63,66.501,0,0,0,0,361.65,141.21,0,0,1.85334e+09,2.06934e+09,0,0,332327,96681.1,0,0,1.25736e+07,7.41918e+06,0,0,918.919,684.664,0,0,85.3545,64.3217,0,0,0.107639,0.0309022,0,0,
7883.00,50,50,183.371,66.4722,0,0,0,0,364.003,141.749,0,0,1.86333e+09,2.07224e+09,0,0,333427,96839.3,0,0,1.26012e+07,7.43969e+06,0,0,916.002,683.173,0,0,85.2271,64.2674,0,0,0.107978,0.0310183,0,0,
7914.00,50,50,183.103,66.4423,0,0,0,0,366.454,142.297,0,0,1.87368e+09,2.07525e+09,0,0,334574,96998,0,0,1.26295e+07,7.46084e+06,0,0,913.003,681.659,0,0,85.0955,64.2124,0,0,0.108325,0.0311368,0,0,
