TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
1431.00,100.413,211544,8.16839e+08,2106.74,8.55889e+06,0.629654,
1461.00,99.9908,213110,8.23284e+08,2131.3,8.62295e+06,0.63569,
1492.00,102.476,226761,8.30257e+08,2212.82,8.69155e+06,0.633012,
1523.00,102.713,221116,8.37131e+08,2152.76,8.7585e+06,0.641372,
1551.00,100.62,214715,8.43177e+08,2133.91,8.8186e+06,0.646398,
1582.00,99.7737,203180,8.49502e+08,2036.41,8.88251e+06,0.653214,
1612.00,102.273,220287,8.5616e+08,2153.92,8.94776e+06,0.664043,
1643.00,103.913,228527,8.63294e+08,2199.21,9.01695e+06,0.676068,
1673.00,103.632,219570,8.69945e+08,2118.75,9.08143e+06,0.683999,
1704.00,101.37,188946,8.75972e+08,1863.92,9.1401e+06,0.6766,
1735.00,95.9944,107108,8.79319e+08,1115.77,9.17516e+06,0.639252,
1765.00,102.31,170950,8.84461e+08,1670.9,9.22534e+06,0.64889,
1796.00,100.187,161546,8.89514e+08,1612.44,9.27589e+06,0.65611,
1826.00,96.8768,146714,8.93919e+08,1514.44,9.32142e+06,0.658475,
1849.00,97.0137,152772,8.97439e+08,1574.75,9.3576e+06,0.654814,
1857.00,96.9033,152793,8.98662e+08,1576.76,9.37021e+06,0.654388,
1888.00,101.331,167413,9.03813e+08,1652.14,9.42099e+06,0.655076,
1917.00,97.3668,145929,9.08044e+08,1498.76,9.46424e+06,0.657419,
1948.00,95.2179,139852,9.12351e+08,1468.75,9.50971e+06,0.661477,
1978.00,95.7837,143441,9.1662e+08,1497.55,9.55445e+06,0.660726,
2009.00,94.7517,151133,9.21434e+08,1595.04,9.60442e+06,0.656667,
2039.00,95.5735,91903.6,9.24232e+08,961.601,9.63382e+06,0.64028,
2070.00,95.9039,136846,9.284e+08,1426.9,9.67735e+06,0.653576,
2101.00,99.8434,54643.2,9.30148e+08,547.289,9.69483e+06,0.794184,
2131.00,99.6718,57140.9,9.31868e+08,573.29,9.71207e+06,0.815636,
2145.00,96.9391,122129,9.3356e+08,1259.85,9.72951e+06,0.699032,
2162.00,96.9142,122969,9.35647e+08,1268.84,9.75104e+06,0.696738,
2192.00,96.0277,160740,9.40935e+08,1673.89,9.80624e+06,0.652227,
2223.00,96.6083,145867,9.45669e+08,1509.88,9.85538e+06,0.661662,
2254.00,96.8423,122742,9.49606e+08,1267.44,9.89608e+06,0.689571,
2282.00,97.5304,126931,9.53256e+08,1301.45,9.93348e+06,0.675341,
2313.00,123.539,302358,9.62085e+08,2447.46,1.00144e+07,0.614623,
2343.00,102.201,209573,9.68963e+08,2050.6,1.00759e+07,0.515502,
2374.00,102.368,220523,9.76185e+08,2154.22,1.01444e+07,0.594822,
2404.00,99.0053,175254,9.81577e+08,1770.15,1.01988e+07,0.643653,
2435.00,100.664,219162,9.88612e+08,2177.17,1.0268e+07,0.664902,
2466.00,99.5423,210788,9.95301e+08,2117.57,1.03347e+07,0.688891,
2496.00,99.3301,162461,1.00032e+09,1635.56,1.03854e+07,0.567273,
2527.00,100.121,137005,1.00465e+09,1368.4,1.04285e+07,0.573244,
2557.00,97.4048,105796,1.00788e+09,1086.15,1.04614e+07,0.603201,
2588.00,97.5684,109464,1.01132e+09,1121.92,1.04967e+07,0.608865,
2619.00,97.4676,101181,1.01448e+09,1038.1,1.05292e+07,0.620943,
2647.00,98.2457,99650.9,1.0173e+09,1014.3,1.05578e+07,0.602547,
2678.00,100.108,113896,1.02087e+09,1137.74,1.05935e+07,0.622673,
2708.00,100.468,112642,1.02429e+09,1121.17,1.06274e+07,0.628824,
2731.00,98.2773,92086,1.02642e+09,937.002,1.06491e+07,0.647072,
2739.00,98.3734,92028.7,1.02715e+09,935.504,1.06566e+07,0.647639,
2769.00,110.614,79688,1.02967e+09,720.414,1.06785e+07,0.633829,
