TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WBHP:N-1,WBHP:N-3,WBHP:N-4,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGIR:N-1,WGIR:N-3,WGIR:N-4,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGOR:N-1,WGOR:N-3,WGOR:N-4,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPT:N-1,WGPT:N-3,WGPT:N-4,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WGPR:N-1,WGPR:N-3,WGPR:N-4,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPT:N-1,WOPT:N-3,WOPT:N-4,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WOPR:N-1,WOPR:N-3,WOPR:N-4,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WPI1:N-1,WPI1:N-3,WPI1:N-4,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,WWCT:N-1,WWCT:N-3,WWCT:N-4,
175.00,214.992,227.264,309.155,247.849,289.687,289.963,292.123,0,0,0,0,0,0,0,130.321,147.207,0,0,91.7618,93.3455,89.6259,5.79601e+07,2.96271e+07,0,0,3.22916e+07,3.28821e+07,3.1482e+07,390962,220810,0,0,183524,186691,179252,525000,262500,0,0,350000,350000,350000,3000,1500,0,0,2000,2000,2000,234.674,138.711,0,0,1175.78,1342.29,1943.39,0.000126005,0.000184757,0,0,0.000163384,5.35493e-05,3.12241e-05,
182.00,213.432,225.881,309.143,246.587,289.302,289.61,291.813,0,0,0,0,0,0,0,131.968,150.726,0,0,91.7367,93.3061,89.6107,6.07232e+07,3.12006e+07,0,0,3.3576e+07,3.41885e+07,3.27366e+07,395904,226089,0,0,183473,186612,179222,546000,273000,0,0,364000,364000,364000,3000,1500,0,0,2000,2000,2000,233.636,138.061,0,0,1173.16,1342.39,1943.8,0.000129783,0.000190193,0,0,0.000213067,5.48559e-05,3.21308e-05,
212.00,207.087,220.204,309.088,241.324,287.686,288.17,290.509,0,0,0,0,0,0,0,137.635,164.731,0,0,91.6434,93.1525,89.5411,7.28977e+07,3.83532e+07,0,0,3.90768e+07,3.97814e+07,3.81109e+07,412905,247096,0,0,183287,186305,179082,636000,318000,0,0,424000,424000,424000,3000,1500,0,0,2000,2000,2000,229.592,135.349,0,0,1154.51,1342.83,1945.48,0.000145639,0.000212947,0,0,0.001329,6.01967e-05,3.60945e-05,
234.00,202.638,216.204,309.043,237.583,286.534,287.174,289.57,0,0,0,0,0,0,0,142.941,174.955,0,0,91.5841,93.0518,89.493,8.21864e+07,4.39909e+07,0,0,4.31075e+07,4.38774e+07,4.20494e+07,428824,262433,0,0,183168,186104,178986,702000,351000,0,0,468000,468000,468000,3000,1500,0,0,2000,2000,2000,226.472,133.381,0,0,1136.68,1343.17,1946.67,0.000157457,0.000229653,0,0,0.0034054,6.38928e-05,3.90735e-05,
243.00,200.83,214.58,309.024,236.063,286.072,286.779,289.192,0,0,0,0,0,0,0,145.345,179.359,0,0,91.5603,93.0131,89.4729,8.60945e+07,4.63974e+07,0,0,4.47557e+07,4.55518e+07,4.366e+07,436035,269039,0,0,183121,186026,178946,729000,364500,0,0,486000,486000,486000,3000,1500,0,0,2000,2000,2000,225.151,132.546,0,0,1129.76,1343.31,1947.14,0.000162415,0.000236621,0,0,0.00447996,6.53727e-05,4.03205e-05,
274.00,194.599,208.954,308.954,230.836,284.502,285.461,287.906,0,0,0,0,0,0,0,153.562,196.662,0,0,91.4767,92.8882,89.4068,1.00068e+08,5.51834e+07,0,0,5.04295e+07,5.13141e+07,4.9205e+07,460685,294994,0,0,182953,185776,178814,822000,411000,0,0,548000,548000,548000,3000,1500,0,0,2000,2000,2000,220.7,129.371,0,0,1110.3,1343.82,1948.76,0.000179996,0.000262106,0,0,0.00844624,7.0312e-05,4.44382e-05,
294.00,190.597,205.231,308.906,227.412,283.516,284.645,287.094,0,0,0,0,0,0,0,157.086,209.54,0,0,91.4237,92.8131,89.3629,1.09421e+08,6.13224e+07,0,0,5.40872e+07,5.50278e+07,5.27802e+07,471257,314310,0,0,182847,185626,178726,882000,441000,0,0,588000,588000,588000,3000,1500,0,0,2000,2000,2000,218.293,127.191,0,0,1102,1344.14,1949.74,0.000191377,0.000279846,0,0,0.010739,7.33994e-05,4.713e-05,
304.00,188.615,203.364,308.881,225.673,283.033,284.246,286.692,0,0,0,0,0,0,0,158.23,216.232,0,0,91.3975,92.7767,89.3423,1.1416e+08,6.45405e+07,0,0,5.59153e+07,5.68835e+07,5.45671e+07,474691,324348,0,0,182795,185553,178685,912000,456000,0,0,608000,608000,608000,3000,1500,0,0,2000,2000,2000,217.297,126.098,0,0,1098.75,1344.3,1950.23,0.000196998,0.000288999,0,0,0.011696,7.4962e-05,4.85218e-05,
335.00,182.558,197.459,308.799,220.125,281.57,283.039,285.475,0,0,0,0,0,0,0,159.484,251.884,0,0,91.3188,92.6673,89.2786,1.28957e+08,7.53739e+07,0,0,6.15791e+07,6.26317e+07,6.0104e+07,478451,377826,0,0,182638,185335,178557,1.005e+06,502500,0,0,670000,670000,670000,3000,1500,0,0,2000,2000,2000,214.458,121.308,0,0,1090.74,1344.77,1951.7,0.000214296,0.000322037,0,0,0.0143223,7.98053e-05,5.26729e-05,
349.00,179.805,194.501,308.76,217.499,280.921,282.507,284.94,0,0,0,0,0,0,0,159.844,291.757,0,0,91.2828,92.619,89.2532,1.35663e+08,8.11989e+07,0,0,6.41354e+07,6.52255e+07,6.26033e+07,479533,437635,0,0,182566,185238,178506,1.047e+06,523500,0,0,698000,698000,698000,3000,1500,0,0,2000,2000,2000,213.047,117.423,0,0,1088.07,1344.98,1952.34,0.000222405,0.000343151,0,0,0.0153534,8.19706e-05,5.46349e-05,
