TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
1339.00,120.824,274052,2.07862e+09,2268.2,6.17546e+06,0.000957793,
1370.00,119.363,272564,2.08708e+09,2283.49,6.24606e+06,0.000953019,
1400.00,118.017,270735,2.09523e+09,2294.04,6.31476e+06,0.000948679,
1431.00,116.252,267673,2.10357e+09,2302.53,6.38603e+06,0.000944002,
1461.00,114.615,264782,2.11155e+09,2310.19,6.45524e+06,0.0009397,
1492.00,113.235,262407,2.11972e+09,2317.37,6.52699e+06,0.000935549,
1523.00,111.472,259127,2.1278e+09,2324.58,6.59896e+06,0.000931174,
1551.00,109.997,256544,2.13501e+09,2332.28,6.66417e+06,0.000927024,
1582.00,108.325,253568,2.14291e+09,2340.81,6.73662e+06,0.000922339,
1612.00,106.229,249716,2.15045e+09,2350.73,6.80702e+06,0.000917386,
1643.00,103.999,245625,2.15813e+09,2361.8,6.88008e+06,0.000912266,
1673.00,100.823,239832,2.1654e+09,2378.74,6.95122e+06,0.000906062,
1704.00,98.1953,235532,2.17275e+09,2398.61,7.02532e+06,0.000900417,
1735.00,96.84,233946,2.18002e+09,2415.8,7.1e+06,0.00089677,
1765.00,95.7745,232680,2.18701e+09,2429.46,7.17272e+06,0.000893658,
1796.00,94.4504,230643,2.19419e+09,2441.95,7.24826e+06,0.000890172,
1826.00,93.6288,229656,2.20109e+09,2452.83,7.32171e+06,0.000887887,
1849.00,93.0072,228746,2.20636e+09,2459.45,7.37822e+06,0.000887429,
1857.00,92.7938,228420,2.20819e+09,2461.59,7.39791e+06,0.000887266,
1888.00,92.1942,227718,2.21525e+09,2469.99,7.47437e+06,0.000886901,
1917.00,91.7136,227265,2.22185e+09,2477.99,7.54613e+06,0.000886987,
1948.00,91.462,227456,2.2289e+09,2486.89,7.62311e+06,0.000888447,
1978.00,91.5206,228261,2.23573e+09,2494.1,7.69784e+06,0.000890023,
2009.00,91.6915,229179,2.24283e+09,2499.46,7.77526e+06,0.000891569,
2039.00,91.8572,229913,2.24971e+09,2502.93,7.85031e+06,0.000892932,
2070.00,91.9939,230384,2.25685e+09,2504.34,7.92793e+06,0.00089413,
2101.00,91.9771,230376,2.264e+09,2504.71,8.00558e+06,0.000894993,
2131.00,91.9456,230270,2.2709e+09,2504.42,8.08071e+06,0.00089573,
2145.00,91.9206,230174,2.27413e+09,2504.05,8.11577e+06,0.00089604,
2162.00,91.8716,230004,2.27804e+09,2503.53,8.15834e+06,0.000896366,
2192.00,91.7431,229584,2.28493e+09,2502.46,8.23342e+06,0.00089685,
2223.00,91.579,229065,2.29204e+09,2501.28,8.31098e+06,0.000897275,
2254.00,91.4882,228725,2.29913e+09,2500.05,8.3885e+06,0.000897809,
2282.00,91.457,228538,2.30554e+09,2498.86,8.45848e+06,0.000898359,
2313.00,91.4493,228397,2.31262e+09,2497.52,8.53592e+06,0.000899039,
2343.00,91.4416,228221,2.31947e+09,2495.8,8.61082e+06,0.000899757,
2374.00,91.3739,227853,2.32654e+09,2493.63,8.68815e+06,0.000900497,
2404.00,91.1694,227173,2.33336e+09,2491.77,8.76292e+06,0.000901083,
2435.00,90.7796,226092,2.34038e+09,2490.57,8.84015e+06,0.000901468,
2466.00,90.5593,225393,2.34738e+09,2488.9,8.91732e+06,0.000902218,
2496.00,90.2973,224546,2.35413e+09,2486.74,8.99196e+06,0.000902984,
2527.00,89.7884,223080,2.36106e+09,2484.51,9.069e+06,0.00090356,
2557.00,89.2944,221762,2.36773e+09,2483.5,9.14352e+06,0.000904319,
2588.00,88.9327,220812,2.37459e+09,2482.91,9.2205e+06,0.00090545,
2619.00,88.6223,219987,2.38142e+09,2482.3,9.29746e+06,0.000906831,
2647.00,88.3884,219349,2.38757e+09,2481.65,9.36695e+06,0.000908312,
2678.00,88.2015,218795,2.39436e+09,2480.62,9.44387e+06,0.000910234,
2708.00,88.0515,218309,2.40091e+09,2479.33,9.51826e+06,0.000912349,
2731.00,87.9405,217927,2.40593e+09,2478.12,9.57527e+06,0.00091416,
2739.00,87.9121,217818,2.40767e+09,2477.67,9.59509e+06,0.000914871,
2769.00,87.8046,217386,2.4142e+09,2475.79,9.66939e+06,0.000918034,
2800.00,87.672,216860,2.42093e+09,2473.54,9.7461e+06,0.000922103,
2831.00,87.5075,216229,2.42764e+09,2470.98,9.82274e+06,0.000927026,
2861.00,87.1945,215228,2.43411e+09,2468.37,9.89682e+06,0.000932501,
2892.00,86.8264,214124,2.44076e+09,2466.12,9.9733e+06,0.000939135,
