 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
    1.00  208.65  -25.00  200.00    7.07    0.00    0.00
    2.00  211.42  -25.00  200.00   11.83    0.00    0.00
    3.00  212.74  -25.00  200.00   14.31    0.00    0.00
    4.00  213.39  -25.00  200.00   15.53    0.00    0.00
    5.00  213.71  -25.00  200.00   16.12    0.00    0.00
    6.00  213.88  -25.00  200.00   16.41    0.00    0.00
    7.00  213.98  -25.00  200.00   16.55    0.00    0.00
    8.00  214.03  -25.00  200.00   16.62    0.00    0.00
    9.00  214.07  -25.00  200.00   16.65    0.00    0.00
   10.00  214.10  -25.00  200.00   16.67    0.00    0.00
   11.00  214.13  -25.00  200.00   16.67    0.00    0.00
   12.00  214.15  -25.00  200.00   16.68    0.00    0.00
   13.00  214.18  -25.00  200.00   16.68    0.00    0.00
   14.00  214.20  -25.00  200.00   16.68    0.00    0.00
   15.00  214.22  -25.00  200.00   16.68    0.00    0.00
   16.00  214.25  -25.00  200.00   16.68    0.00    0.00
   17.00  214.27  -25.00  200.00   16.68    0.00    0.00
   18.00  214.29  -25.00  200.00   16.68    0.00    0.00
   19.00  214.32  -25.00  200.00   16.68    0.00    0.00
   20.00  214.34  -25.00  200.00   16.68    0.00    0.00
   21.00  214.37  -25.00  200.00   16.68    0.00    0.00
   22.00  214.40  -25.00  200.00   16.68    0.00    0.00
   23.00  214.43  -25.00  200.00   16.68    0.00    0.00
   24.00  214.46  -25.00  200.00   16.68    0.00    0.00
   25.00  214.49  -25.00  200.00   16.68    0.00    0.00
   26.00  214.53  -25.00  200.00   16.68    0.00    0.00
   27.00  214.56  -25.00  200.00   16.68    0.00    0.00
   28.00  214.59  -25.00  200.00   16.68    0.00    0.00
   29.00  214.63  -25.00  200.00   16.68    0.00    0.00
   30.00  214.66  -25.00  200.00   16.68    0.00    0.00
   31.00  214.70  -25.00  200.00   16.68    0.00    0.00
   32.00  214.74  -25.00  200.00   16.68    0.00    0.00
   33.00  214.80  -25.00  200.00   16.67    0.00    0.00
   34.00  214.85  -25.00  200.00   16.67    0.00    0.00
   35.00  214.91  -25.00  200.00   16.67    0.00    0.00
   36.00  214.96  -25.00  200.00   16.67    0.00    0.00
   37.00  215.02  -25.00  200.00   16.67    0.00    0.00
   38.00  215.08  -25.00  200.00   16.67    0.00    0.00
   39.00  215.14  -25.00  200.00   16.67    0.00    0.00
   40.00  215.20  -25.00  200.00   16.67    0.00    0.00
   41.00  215.26  -25.00  200.00   16.67    0.00    0.00
   42.00  215.34  -25.00  200.00   16.67    0.00    0.00
   43.00  215.43  -25.00  200.00   16.67    0.00    0.00
   44.00  215.52  -25.00  200.00   16.66    0.00    0.00
   45.00  215.61  -25.00  200.00   16.66    0.00    0.00
   46.00  215.71  -25.00  200.00   16.66    0.00    0.00
   47.00  215.81  -25.00  200.00   16.66    0.00    0.00
   48.00  215.91  -25.00  200.00   16.66    0.00    0.00
   49.00  216.02  -25.00  200.00   16.66    0.00    0.00
   50.00  216.13  -25.00  200.00   16.66    0.00    0.00
   51.00  216.24  -25.00  200.00   16.66    0.00    0.00
   52.00  216.36  -25.00  200.00   16.66    0.00    0.00
   53.00  216.48  -25.00  200.00   16.65    0.00    0.00
   54.00  216.60  -25.00  200.00   16.65    0.00    0.00
   55.00  216.73  -25.00  200.00   16.65    0.00    0.00
   56.00  216.87  -25.00  200.00   16.65    0.00    0.00
   57.00  217.01  -25.00  200.00   16.65    0.00    0.00
   58.00  217.15  -25.00  200.00   16.65    0.00    0.00
   59.00  217.30  -25.00  200.00   16.65    0.00    0.00
   60.00  217.45  -25.00  200.00   16.65    0.00    0.00
   61.00  217.61  -25.00  200.00   16.65    0.00    0.00
   62.00  217.77  -25.00  200.00   16.64    0.00    0.00
   63.00  217.87  -25.00  200.00   16.65    0.00    0.00
   64.00  217.89  -25.00  200.00   16.66    0.00    0.00
   65.00  217.91  -25.00  200.00   16.67    0.00    0.00
   66.00  217.92  -25.00  200.00   16.68    0.00    0.00
   67.00  217.94  -25.00  200.00   16.68    0.00    0.00
   68.00  217.95  -25.00  200.00   16.68    0.00    0.00
   69.00  217.96  -25.00  200.00   16.68    0.00    0.00
   70.00  217.97  -25.00  200.00   16.68    0.00    0.00
   71.00  217.98  -25.00  200.00   16.68    0.00    0.00
   72.00  218.00  -25.00  200.00   16.68    0.00    0.00
   73.00  218.01  -25.00  200.00   16.68    0.00    0.00
   74.00  218.02  -25.00  200.00   16.68    0.00    0.00
   75.00  218.05  -25.00  200.00   16.68    0.00    0.00
   76.00  218.11  -25.00  200.00   16.67    0.00    0.00
   77.00  218.17  -25.00  200.00   16.67    0.00    0.00
   78.00  218.23  -25.00  200.00   16.66    0.00    0.00
   79.00  218.29  -25.00  200.00   16.66    0.00    0.00
   80.00  218.36  -25.00  200.00   16.66    0.00    0.00
   81.00  218.42  -25.00  200.00   16.66    0.00    0.00
   82.00  218.48  -25.00  200.00   16.66    0.00    0.00
   83.00  218.54  -25.00  200.00   16.66    0.00    0.00
   84.00  218.60  -25.00  200.00   16.66    0.00    0.00
   85.00  218.66  -25.00  200.00   16.66    0.00    0.00
   86.00  218.72  -25.00  200.00   16.66    0.00    0.00
   87.00  218.78  -25.00  200.00   16.66    0.00    0.00
   88.00  218.84  -25.00  200.00   16.66    0.00    0.00
   89.00  218.90  -25.00  200.00   16.66    0.00    0.00
   90.00  218.95  -25.00  200.00   16.66    0.00    0.00
   91.00  219.00  -25.00  200.00   16.66    0.00    0.00
   92.00  219.03  -25.00  200.00   16.67    0.00    0.00
   93.00  219.05  -25.00  200.00   16.67    0.00    0.00
   94.00  219.08  -25.00  200.00   16.67    0.00    0.00
   95.00  219.10  -25.00  200.00   16.67    0.00    0.00
   96.00  219.13  -25.00  200.00   16.67    0.00    0.00
   97.00  219.15  -25.00  200.00   16.67    0.00    0.00
   98.00  219.18  -25.00  200.00   16.67    0.00    0.00
   99.00  219.20  -25.00  200.00   16.67    0.00    0.00
  100.00  219.22  -25.00  200.00   16.67    0.00    0.00
  101.00  219.25  -25.00  200.00   16.67    0.00    0.00
  102.00  219.27  -25.00  200.00   16.67    0.00    0.00
  103.00  219.29  -25.00  200.00   16.67    0.00    0.00
  104.00  219.32  -25.00  200.00   16.67    0.00    0.00
  105.00  219.34  -25.00  200.00   16.67    0.00    0.00
  106.00  219.37  -25.00  200.00   16.67    0.00    0.00
  107.00  219.39  -25.00  200.00   16.67    0.00    0.00
  108.00  219.41  -25.00  200.00   16.67    0.00    0.00
  109.00  219.44  -25.00  200.00   16.67    0.00    0.00
  110.00  219.46  -25.00  200.00   16.67    0.00    0.00
  111.00  219.49  -25.00  200.00   16.67    0.00    0.00
  112.00  219.51  -25.00  200.00   16.67    0.00    0.00
  113.00  219.54  -25.00  200.00   16.67    0.00    0.00
  114.00  219.56  -25.00  200.00   16.67    0.00    0.00
  115.00  219.59  -25.00  200.00   16.67    0.00    0.00
  116.00  219.59  -25.00  200.00   16.67    0.00    0.00
  117.00  219.55  -25.00  200.00   16.68    0.00    0.00
  118.00  219.51  -25.00  200.00   16.68    0.00    0.00
  119.00  219.47  -25.00  200.00   16.68    0.00    0.00
  120.00  219.43  -25.00  200.00   16.69    0.00    0.00
  121.00  219.39  -25.00  200.00   16.69    0.00    0.00
  122.00  219.35  -25.00  200.00   16.68    0.00    0.00
  123.00  219.32  -25.00  200.00   16.68    0.00    0.00
  124.00  219.28  -25.00  200.00   16.68    0.00    0.00
  125.00  219.26  -25.00  200.00   16.68    0.00    0.00
  126.00  219.23  -25.00  200.00   16.68    0.00    0.00
  127.00  219.21  -25.00  200.00   16.68    0.00    0.00
  128.00  219.19  -25.00  200.00   16.67    0.00    0.00
  129.00  219.18  -25.00  200.00   16.67    0.00    0.00
  130.00  219.16  -25.00  200.00   16.67    0.00    0.00
  131.00  219.15  -25.00  200.00   16.67    0.00    0.00
  132.00  219.14  -25.00  200.00   16.67    0.00    0.00
